id,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
992,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/ed4e3b24-c88a-452d-862b-1952db5cb958-1604142096126-1e02d71ae8f89007080d0c4ca1d6b55f.jpg,The Carstensz Homestay,Guest House,Maros Baru Maros,Jl. Poros Makassar. Marumpa. Kec. Marusu. Kabupaten Maros. Sulawesi Selatan 90552,Belum ada rating,284046,312131,-5.060592,119.5299
993,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/01/19/092cb5d9-f20c-4734-8b19-478dfeb5989c-1611054311793-dc1665e64cff750b893364dbbb7400ec.jpg,Guest House Toddopuli VII,Guest House,Panakkukang Makassar,Jl. Toddopuli VII No. 2 . Borong. Kec. Manggala. Kota Makassar. Sulawesi Selatan,Belum ada rating,75471,75471,-5.166675,119.45417
994,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/fbfbfc69-5c96-4e5c-81a0-32c539ea4104-1615561274391-24f4840983b476a81827ad431e8e3153.jpg,OYO 3127 Wisma Permata,Hotel,Wajo Makassar,Jl. Flores No. 3A. Pattunuang. Makassar,Belum ada rating,136503,155250,-5.131209,119.408587
995,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/f02703bb-2a3a-4db6-84d4-f82b14649cff-1615536916120-8fd93590f993dd027a9d356bcf5e1785.jpg,OYO 90090 Adhyaksa Syariah Guest House,Hotel,Rappocini Makassar,1. Jl. Adhyaksa. Makassar. Sulawesi Selatan. Makassar,3.0,96390,96390,-5.162449,119.444787
996,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/08/04/226204f2-d1c3-44e7-8f75-0190a79f75ed-1628059524676-ebc55fdc9dd558907e6e031e5372f931.jpg,Wisma Sinar Jaya,Homestay,Wajo Makassar,Jalan Sarappo No. 77. Butung. Kec. Wajo. Kota Makassar. Sulawesi Selatan. 90164,3.9,172338,179910,-5.124249,119.41174
997,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/28/c0d88c81-48b4-4776-b6c5-9140fa56eca7-1632773189265-aa5bf85594634095e940cd0529a0796c.jpg,Pondok Ningsih 1 Malino,Guest House,Tinggimoncong Gowa,Jalan Poros Malino,3.0,185485,208405,-5.244675999999999,119.90592100000003
998,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/e4b9db43-978b-482e-a830-ae77abf22cb7-1615563466394-5cc0e75e3a30ba1bc714f9a9e87f14cb.jpg,OYO 90012 Guest House Cahaya 7296,Hotel,Rappocini Makassar,46. Jl.Wijaya Kusuma. Mandala. Makassar. Makassar,Belum ada rating,152768,269526,-5.160545,119.428996
999,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/f7d03060-7119-4d4d-b3e3-93221245b5a2-1615563551857-e7a707da374d454cd154a81df009d3ff.jpg,OYO 90062 Ava Guesthouse,Hotel,Ujung Pandang Makassar,18. Jl.Bulogading No 18. Kec Ujung Pandang.Makassar. Makassar,Belum ada rating,124800,124800,-5.13884,119.407537
1000,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/03/14/6f359bb3-39c0-4665-b2a0-6d74475b9be2-1647229533581-2e1fda1616982c0947e277112367af93.jpg,Penginapan Asidik,Guest House,Bira Bulukumba,Bira. Bonto Bahari. Kabupaten Bulukumba. Sulawesi Selatan,Belum ada rating,309231,3474432,-5.6100972,120.454041
1001,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/01/17/3711f324-8906-4bdd-a5d0-189a0d3693e2-1642389923248-14cc7d5376a5b9c4b20b86863e51a408.jpg,Homestay Tirtasari Pinrang City Center,Guest House,Watang Sawito Pinrang,Jl. Singa No.20. Macorawalie. Watang Sawitto. Kabupaten Pinrang. Sulawesi Selatan 91212. Indonesia,5.0,189398,308672,-3.805055,119.653466
